Tm,W,L,BatAge,PAge,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,RA/G,W,L,ERA,SV,IP,H_a,R_a,ER_a,HR_a,BB_a,IBB_a,SO_a,HBP_a,BK,WP,BF,ERA+,BB9,SO9,SO/W,LOB
BAL,96,66,28.3,27.7,705,1434,264,16,211,681,44,20,401,1285,0.256,0.311,0.422,0.734,106,2363,112,62,35,36,29,1088,3.66,96,66,3.44,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,112,2.9,7.2,2.49,1127
BOS,71,91,29.2,29.9,634,1355,282,20,123,601,63,25,535,1337,0.244,0.316,0.369,0.684,92,2046,138,68,20,52,36,1168,4.41,71,91,4.01,36,1465.2,1458,715,653,154,482,19,1213,47,5,51,6231,97,3,7.4,2.52,1119
CHW,73,89,27.7,27.4,660,1400,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,100,2208,127,60,19,38,33,1071,4.68,73,89,4.3,36,1441,1468,758,687,140,557,42,1152,69,3,75,6255,90,3.5,7.2,2.07,1174
CLE,85,77,28.5,27.2,669,1411,284,23,142,644,104,27,504,1189,0.253,0.317,0.389,0.706,102,2167,126,42,51,49,24,1154,4.03,85,77,3.57,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,104,2.8,8.9,3.13,1135
DET,90,72,29.8,28.5,757,1557,325,26,155,731,106,41,443,1144,0.277,0.331,0.426,0.757,109,2399,137,44,24,61,51,1111,4.35,90,72,4.01,41,1454,1475,705,648,127,462,34,1244,42,9,43,6191,100,2.9,7.7,2.69,1124
HOU,70,92,25.7,27.9,629,1317,240,19,163,596,122,37,495,1442,0.242,0.309,0.383,0.692,95,2084,122,55,22,36,27,1086,4.46,70,92,4.14,31,1438.2,1437,723,657,139,484,32,1137,52,7,57,6154,95,3,7.1,2.35,1115
KCR,89,73,28.2,28.9,651,1456,286,29,95,604,153,36,380,985,0.263,0.314,0.376,0.69,91,2085,131,53,33,47,22,1080,3.85,89,73,3.51,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,114,2.7,7.2,2.65,1125
LAA,98,64,29.3,28.4,773,1464,304,31,155,729,81,39,492,1266,0.259,0.322,0.406,0.728,109,2295,112,60,26,54,42,1113,3.89,98,64,3.58,46,1482.2,1307,630,590,126,504,41,1342,63,4,74,6179,102,3.1,8.1,2.66,1101
MIN,70,92,27.6,29.2,715,1412,316,27,128,675,99,36,544,1329,0.254,0.324,0.389,0.713,100,2166,97,53,25,44,29,1176,4.8,70,92,4.58,38,1435,1588,777,728,147,408,24,1031,45,6,50,6212,86,2.6,6.5,2.53,1130
NYY,84,78,32.6,29.3,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,94,2089,111,56,29,47,16,1098,4.1,84,78,3.75,48,1453,1392,664,605,164,398,23,1370,65,6,49,6114,104,2.5,8.5,3.44,1091
OAK,88,74,29.5,28.2,729,1354,253,33,146,686,83,20,586,1104,0.244,0.32,0.381,0.7,99,2111,118,49,19,43,34,1147,3.53,88,74,3.22,31,1463.1,1269,572,524,147,406,28,1244,48,1,59,5971,116,2.5,7.7,3.06,1010
SEA,87,75,27.6,29,634,1328,247,32,136,600,96,42,396,1232,0.244,0.3,0.376,0.676,95,2047,112,60,35,34,33,1008,3.42,87,75,3.17,51,1452,1240,554,512,137,463,36,1317,52,8,80,5974,115,2.9,8.2,2.84,1064
TBR,77,85,29.3,28.4,612,1361,263,24,117,586,63,27,527,1124,0.247,0.317,0.367,0.684,96,2023,135,66,43,53,31,1193,3.86,77,85,3.56,37,1463.2,1292,625,579,145,482,27,1437,58,3,65,6131,105,3,8.8,2.98,1115
TEX,67,95,28.4,27.9,637,1400,260,28,111,597,105,59,417,1162,0.256,0.314,0.375,0.689,94,2049,148,61,41,45,37,1066,4.77,67,95,4.49,33,1426.1,1510,773,711,160,505,43,1110,61,7,61,6195,87,3.2,7,2.2,1143
TOR,83,79,29.2,29.6,723,1435,282,24,177,690,78,21,502,1151,0.259,0.323,0.414,0.736,106,2296,128,41,35,40,27,1122,4.23,83,79,4,45,1443,1400,686,642,151,490,23,1199,57,5,43,6150,98,3.1,7.5,2.45,1135
LgAvg,82,80,28.7,28.5,677,1402,275,26,144,642,93,33,473,1216,0.253,0.316,0.39,0.706,99,2162,124,55,30,45,31,1112,4.14,82,80,3.81,41,1453,1397,670,616,143,468,31,1239,55,5,58,6144,101,2.9,7.7,2.65,1114
