Date,Open,High,Low,Close,Volume
2015-02-23,130.02,133.0,129.66,133.0,67871830.0
2015-02-20,128.62,129.5,128.05,129.5,48948419.0
2015-02-19,128.48,129.03,128.33,128.45,37362381.0
2015-02-18,127.62,128.78,127.45,128.72,44891737.0
2015-02-17,127.49,128.88,126.92,127.83,63152405.0
2015-02-13,127.28,127.28,125.65,127.08,54272219.0
2015-02-12,126.06,127.48,125.57,126.46,74474466.0
2015-02-11,122.77,124.92,122.5,124.88,73561797.0
2015-02-10,120.17,122.15,120.16,122.02,62008506.0
2015-02-09,118.55,119.84,118.43,119.72,38889797.0
2015-02-06,120.02,120.25,118.45,118.93,43706567.0
2015-02-05,120.02,120.23,119.25,119.94,42246245.0
2015-02-04,118.5,120.51,118.31,119.56,70149743.0
2015-02-03,118.5,119.09,117.61,118.65,51915749.0
2015-02-02,118.05,119.17,116.08,118.63,62739100.0
2015-01-30,118.4,120.0,116.85,117.16,83745461.0
2015-01-29,116.32,119.19,115.56,118.9,84436432.0
2015-01-28,117.62,118.12,115.31,115.31,146477063.0
2015-01-27,112.42,112.48,109.03,109.14,95568749.0
2015-01-26,113.74,114.36,112.8,113.1,55614979.0
2015-01-23,112.3,113.75,111.53,112.98,46464828.0
2015-01-22,110.26,112.47,109.72,112.4,53796409.0
2015-01-21,108.95,111.06,108.27,109.55,48575897.0
2015-01-20,107.84,108.97,106.5,108.72,49899907.0
2015-01-16,107.03,107.58,105.2,105.99,78513345.0
2015-01-15,110.0,110.06,106.66,106.82,60013996.0
2015-01-14,109.04,110.49,108.5,109.8,48956588.0
2015-01-13,111.43,112.8,108.91,110.22,67091928.0
2015-01-12,112.6,112.63,108.8,109.25,49650790.0
2015-01-09,112.67,113.25,110.21,112.01,53699527.0
2015-01-08,109.23,112.15,108.7,111.89,59364547.0
2015-01-07,107.2,108.2,106.7,107.75,40105934.0
2015-01-06,106.54,107.43,104.63,106.26,65797116.0
2015-01-05,108.29,108.65,105.41,106.25,64285491.0
2015-01-02,111.39,111.44,107.35,109.33,53204626.0
2014-12-31,112.82,113.13,110.21,110.38,41403351.0
2014-12-30,113.64,113.92,112.11,112.52,29881477.0
2014-12-29,113.79,114.77,113.7,113.91,27598920.0
2014-12-26,112.1,114.52,112.01,113.99,33720951.0
2014-12-24,112.58,112.71,112.01,112.01,14479611.0
2014-12-23,113.23,113.33,112.46,112.54,26028419.0
2014-12-22,112.16,113.49,111.97,112.94,45167549.0
2014-12-19,112.26,113.24,111.66,111.78,88429770.0
2014-12-18,111.87,112.65,110.66,112.65,59006218.0
