,time,name,country,place,marathon,day,month,year,gender,seconds
0,2:19:25,Gladys CHERONO,KEN,1,Berlin,27,SEP,2015,F,8365
1,2:19:52,Mare DIBABA,ETH,1,Xiamen,3,JAN,2015,F,8392
2,2:20:02,Aselefech MERGIA,ETH,1,Dubai,23,JAN,2015,F,8402
3,2:20:03,Gladys CHERONO,KEN,2,Dubai,23,JAN,2015,F,8403
4,2:20:21,Lucy Wangui KABUU,KEN,3,Dubai,23,JAN,2015,F,8421
5,2:20:48,Aberu KEBEDE,ETH,2,Berlin,27,SEP,2015,F,8448
6,2:20:59,Shure DEMISE,ETH,4,Dubai,23,JAN,2015,F,8459
7,2:21:17,Aberu KEBEDE,ETH,5,Dubai,23,JAN,2015,F,8477
8,2:21:56,Mulu SEBOKA,ETH,6,Dubai,23,JAN,2015,F,8516
9,2:22:08,Eunice Jepkirui KIRWA,BRN,1,Nagoya,8,MAR,2015,F,8528
10,2:22:09,Tetiana SHMYRKO,UKR,1,Osaka,25,JAN,2015,F,8529
11,2:22:48,Sairi MAEDA,JPN,2,Nagoya,8,MAR,2015,F,8568
12,2:22:51,Tadelech BEKELE,ETH,7,Dubai,23,JAN,2015,F,8571
13,2:23:06,Aliaksandra DULIBA,BLR,8,Dubai,23,JAN,2015,F,8586
14,2:23:12,Gulume Tollesa CHALA,ETH,1,Frankfurt,25,OCT,2015,F,8592
15,2:23:12,Dinknesh MEKASH,ETH,2,Frankfurt,25,OCT,2015,F,8592
16,2:23:15,Birhane DIBABA,ETH,1,Tokyo,22,FEB,2015,F,8595
17,2:23:22,Tigist TUFA,ETH,1,London,26,APR,2015,F,8602
18,2:23:23,Yebrqual MELESE,ETH,1,Houston,18,JAN,2015,F,8603
19,2:23:26,Meseret MENGISTU,ETH,1,Paris,12,APR,2015,F,8606
20,2:23:30,Amane GOBENA,ETH,2,Paris,12,APR,2015,F,8610
21,2:23:32,Guteni SHONE,ETH,2,Houston,18,JAN,2015,F,8612
22,2:23:33,Abebech AFEWORK,ETH,9,Dubai,23,JAN,2015,F,8613
23,2:23:33,Florence KIPLAGAT,KEN,1,Chicago,11,OCT,2015,F,8613
24,2:23:37,Shure DEMISE,ETH,1,Toronto,18,OCT,2015,F,8617
25,2:23:40,Mary KEITANY,KEN,2,London,26,APR,2015,F,8620
26,2:23:41,Tirfi TSEGAYE,ETH,3,London,26,APR,2015,F,8621
27,2:23:43,Ashete BEKELE,ETH,10,Dubai,23,JAN,2015,F,8623
28,2:23:43,Yebrgual MELESE,ETH,2,Chicago,11,OCT,2015,F,8623
29,2:23:49,Yebrgual MELESE,ETH,1,Prague,3,MAY,2015,F,8629
30,2:23:51,Biruktayit ESHETU,ETH,3,Houston,18,JAN,2015,F,8631
31,2:23:52,Koren YAL,ETH,3,Frankfurt,25,OCT,2015,F,8632
32,2:23:53,Aselefech MERGIA,ETH,4,London,26,APR,2015,F,8633
33,2:24:03,Helah KIPROP,KEN,2,Tokyo,22,FEB,2015,F,8643
34,2:24:07,Jelena PROKOPCUKA,LAT,2,Osaka,25,JAN,2015,F,8647
35,2:24:11,Joyce CHEPKIRUI,KEN,1,Amsterdam,18,OCT,2015,F,8651
36,2:24:15,Florence KIPLAGAT,KEN,5,London,26,APR,2015,F,8655
37,2:24:16,Sharon CHEROP,KEN,2,Toronto,18,OCT,2015,F,8656
38,2:24:16,Fatuma SADO,ETH,2,Toronto,18,OCT,2015,F,8656
39,2:24:23,Jemima SUMGONG,KEN,6,London,26,APR,2015,F,8663
40,2:24:24,Birhane DIBABA,ETH,3,Chicago,11,OCT,2015,F,8664
41,2:24:25,Kayoko FUKUSHI,JPN,4,Chicago,11,OCT,2015,F,8665
42,2:24:25,Mary KEITANY,KEN,1,New York,1,NOV,2015,F,8665
43,2:24:26,Tiki GELANA,ETH,3,Tokyo,22,FEB,2015,F,8666
44,2:24:29,Betelhem MOGES,ETH,11,Dubai,23,JAN,2015,F,8669
45,2:24:33,Meserest HAILU,ETH,3,Berlin,27,SEP,2015,F,8673
46,2:24:38,Flomena CHEYCH,KEN,2,Amsterdam,18,OCT,2015,F,8678
47,2:24:38,Sardana TROFIMOVA,RUS,4,Frankfurt,25,OCT,2015,F,8678
48,2:24:40,Mulu SEBOKA,ETH,5,Chicago,11,OCT,2015,F,8680
49,2:24:42,Visiline JEPKESHO,KEN,3,Paris,12,APR,2015,F,8682
50,2:24:42,Mai ITO,JPN,3,Nagoya,8,MAR,2015,F,8682
51,2:24:44,Sultan HAYDAR,TUR,12,Dubai,23,JAN,2015,F,8684
52,2:24:49,Sara MOREIRA,POR,2,Prague,3,MAY,2015,F,8689
53,2:25:01,Priscah JEPTOO,KEN,7,London,26,APR,2015,F,8701
54,2:25:01,Tadelech BEKELE,ETH,4,Berlin,27,SEP,2015,F,8701
55,2:25:09,Purity RIONORIPO,KEN,1,Lisbon,18,OCT,2015,F,8709
56,2:25:11,Meskerem ASSEFA,ETH,6,Chicago,11,OCT,2015,F,8711
57,2:25:15,Ana Dulce FELIX,POR,8,London,26,APR,2015,F,8715
58,2:25:22,Rebecca KANGOGO,KEN,13,Dubai,23,JAN,2015,F,8722
59,2:25:24,Letebrhan HAYLAY,ETH,3,Prague,3,MAY,2015,F,8724
60,2:25:30,Aberu MEKURIA,ETH,1,Ottawa,24,MAY,2015,F,8730
61,2:25:32,Aselefech Mergia,ETH,2,New York,1,NOV,2015,F,8732
62,2:25:36,Volha MAZURONAK,BLR,9,London,26,APR,2015,F,8736
63,2:25:41,Meseret HAILU,ETH,1,Hamburg,26,APR,2015,F,8741
64,2:25:41,Rebecca Kangogo CHESIR,KEN,2,Ottawa,24,MAY,2015,F,8741
65,2:25:42,Melkam GIZAW,ETH,1,Ljubljana,25,OCT,2015,F,8742
66,2:25:50,Tigist Tufa,ETH,3,New York,1,NOV,2015,F,8750
67,2:25:46,Agnes Jepkemboi KIPROP,KEN,1,Hengshui,26,SEP,2015,F,8746
68,2:25:53,Abebech AFEWORK,ETH,3,Ottawa,24,MAY,2015,F,8753
69,2:25:53,Sara Moreira,POR,4,New York,1,NOV,2015,F,8753
70,2:25:58,MEKURIA,ETH,14,Dubai,23,JAN,2015,F,8758
71,2:25:58,Meskere ASSEFA,ETH,4,Paris,12,APR,2015,F,8758
72,2:25:59,Marta LEMA,ETH,2,Hengshui,26,SEP,2015,F,8759
73,2:26:14,Fantu ETICHA,ETH,15,Dubai,23,JAN,2015,F,8774
74,2:26:12,Agnes Jepkemboi KIPROP,KEN,4,Ottawa,24,MAY,2015,F,8772
75,2:26:16,Sylvia KIBET,KEN,2,Hamburg,26,APR,2015,F,8776
76,2:26:20,LEMA,ETH,5,Paris,12,APR,2015,F,8780
77,2:26:22,SHONE,ETH,1,Seoul,15,MAR,2015,F,8782
78,2:26:23,Rael KIYARA,KEN,1,Shanghai,8,NOV,2015,F,8783
79,2:26:25,Fatuma SADO,ETH,1,Warsaw,26,APR,2015,F,8785
80,2:26:30,Asami KATO,JPN,1,Rotterdam,12,APR,2015,F,8790
81,2:26:31,Janet RONO,KEN,4,Prague,3,MAY,2015,F,8791
82,2:26:33,Rkia EL MKOUM,MAR,10,London,26,APR,2015,F,8793
83,2:26:39,Risa SHIGETOMO,JPN,3,Osaka,25,JAN,2015,F,8799
84,2:26:43,Selly Kaptich CHEPYEGO,KEN,4,Tokyo,22,FEB,2015,F,8803
85,2:26:45,Meselech MELKAMU,ETH,5,Ottawa,24,SEP,2015,F,8805
86,2:26:46,Andrea DEELSTRA,NED,5,Berlin,27,SEP,2015,F,8806
87,2:26:48,Biruktayit ESHETU,ETH,6,Paris,12,APR,2015,F,8808
88,2:26:49,Maja NEUENSCWANDER,SUI,6,Berlin,27,SEP,2015,F,8809
89,2:26:54,Flomena CHEYCH,KEN,5,Tokyo,22,FEB,2015,F,8814
90,2:26:54,Changqin DING,CHN,1,Chongqing,22,MAR,2015,F,8814
91,2:26:55,Ashete BEKERE,ETH,5,Prague,3,MAY,2015,F,8815
92,2:26:57,Christelle DAUNAY,FRA,5,New York,1,NOV,2015,F,8817
93,2:26:57,Beata NAIGAMBO,NAM,1,Valencia,15,NOV,2015,F,8817
94,2:27:03,Priscah JEPTOO,KEN,6,New York,1,NOV,2015,F,8823
95,2:27:06,Mercy KIBARUS,KEN,2,Warsaw,26,APR,2015,F,8826
96,2:27:08,Lucy KARIMI,KEN,16,Dubai,23,JAN,2015,F,8828
97,2:27:12,Sechale DALASA,ETH,4,Houston,18,JAN,2015,F,8832
98,2:27:14,Yeshi ESAYIAS,ETH,6,Ottawa,24,MAY,2015,F,8834
99,2:27:16,Edna KIPLAGAT,KEN,11,London,26,APR,2015,F,8836
0,2:14:04,Brigid KOSGEI,KEN,1,Chicago,13 OCT,,2019,F,8044
1,2:17:08,Ruth CHEPNGETICH,KEN,1,Dubai,25 JAN,,2019,F,8228
2,2:17:20,KOSGEI,KEN,1,London,28 APR,,2019,F,8240
3,2:17:41,Worknesh DEGEFA,ETH,2,Dubai,25 JAN,,2019,F,8261
4,2:18:30,Roza DEREJE,ETH,1,Valencia,01 DEC,,2019,F,8310
5,2:18:33,Azmera ABREHA,ETH,2,Valencia,01 DEC,,2019,F,8313
6,2:18:46,Birhane DIBABA,ETH,3,Valencia,01 DEC,,2019,F,8326
7,2:18:52,Vivian CHERUIYOT,KEN,4,Valencia,01 DEC,,2019,F,8332
8,2:19:10,Valary AYABEI,KEN,1,Frankfurt,27 OCT,,2019,F,8350
9,2:19:26,Degitu AZIMERAW,ETH,1,Amsterdam,20 OCT,,2019,F,8366
10,2:19:27,Zeineba YIMER,ETH,5,Valencia,01 DEC,,2019,F,8367
11,2:19:46,Lonah Chemtai SALPETER,ISR,1,Prague,05 MAY,,2019,F,8386
12,2:19:52,Tigist GIRMA,ETH,2,Amsterdam,20 OCT,,2019,F,8392
13,2:20:14,Vivian CHERUIYOT,KEN,2,London,28 APR,,2019,F,8414
14,2:20:14,Ashete BEKERE,ETH,1,Berlin,29 SEP,,2019,F,8414
15,2:20:21,Mare DIBABA,ETH,2,Berlin,29 SEP,,2019,F,8421
16,2:20:24,Workenesh EDESA,ETH,6,Valencia,01 DEC,,2019,F,8424
17,2:20:39,Purity RIONORIPO,KEN,7,Valencia,01 DEC,,2019,F,8439
18,2:20:40,Ruti AGA,ETH,1,Tokyo,03 MAR,,2019,F,8440
19,2:20:48,Azmera GEBRU,ETH,3,Amsterdam,20 OCT,,2019,F,8448
20,2:20:51,Roza DEREJE,ETH,3,London,28 APR,,2019,F,8451
21,2:20:51,Abebel YESHANEH,ETH,2,Chicago,13 OCT,,2019,F,8451
22,2:20:52,Gladys CHERONO,KEN,4,London,28 APR,,2019,F,8452
23,2:20:55,Gelete BURKA,ETH,3,Chicago,13 OCT,,2019,F,8455
24,2:20:58,Mary KEITANY,KEN,5,London,28 APR,,2019,F,8458
25,2:21:01,Helen TOLA,ETH,2,Tokyo,03 MAR,,2019,F,8461
26,2:21:03,Besu SADO,ETH,4,Amsterdam,20 OCT,,2019,F,8463
27,2:21:05,Worknesh EDESA,ETH,3,Dubai,25 JAN,,2019,F,8465
28,2:21:05,Shure DEMISE,ETH,3,Tokyo,03 MAR,,2019,F,8465
29,2:21:06,Sally CHEPYEGO,ETH,3,Berlin,29 SEP,,2019,F,8466
30,2:21:10,Megertu KEBEDE,ETH,2,Frankfurt,27 OCT,,2019,F,8470
31,2:21:11,Vivian Jerono KIPLAGAT,KEN,1,Abu Dhabi,06 DEC,,2019,F,8471
32,2:21:22,Mimi BELETE,BRN,5,Amsterdam,20 OCT,,2019,F,8482
33,2:21:26,Bornes KITUR,KEN,1,Ljubljana,27 OCT,,2019,F,8486
34,2:21:33,Shitaye ESHETE,BRN,2,Ljubljana,27 OCT,,2019,F,8493
35,2:21:50,Florence KIPLAGAT,KEN,4,Tokyo,03 MAR,,2019,F,8510
36,2:22:07,Diana CHEMTAI,KEN,3,Lubljana,27 OCT,,2019,F,8527
37,2:22:11,Meskerem ASSEFA,ETH,3,Frankfurt,27 OCT,,2019,F,8531
38,2:22:12,Nancy KIPROP,KEN,1,Wien,07 APR,,2019,F,8532
39,2:22:16,Sarah HALL,USA,4,Berlin,29 SEP,,2019,F,8536
40,2:22:16,Magdelyne MASAI,KEN,1,Toronto,20 OCT,,2019,F,8536
41,2:22:25,Helalia JOHANNES,NAM,1,Nagoya,10 MAR,,2019,F,8545
42,2:22:25,Vivian KIPLAGAT,KEN,1,Milano,07 APR,,2019,F,8545
43,2:22:29,Abeba GEBREMNESKEL,ETH,8,Valencia,01 DEC,,2019,F,8549
44,2:22:38,Joyciline JEPKOSGEI,KEN,1,New York,03 NOV,,2019,F,8558
45,2:22:39,Shitaye ESHETE,BRN,2,Prague,05 MAY,,2019,F,8559
46,2:22:40,Biruktayit ESHETU,ETH,2,Toronto,20 OCT,,2019,F,8560
47,2:22:41,Afera GODFAY,ETH,1,Dongying,20 APR,,2019,F,8561
48,2:22:43,Betsy SAINA,KEN,3,Toronto,20 OCT,,2019,F,8563
